DATE,dateindex,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40
1/1/2009,1,-0.000906989,0.000259069,-0.000127545,-5.07E-05,0.000105714,0.000579506,4.78E-05,0.000222633,-0.000260108,0.000972809,-0.000224138,-0.000238493,-0.000296763,-1.00E-05,-0.000382695,-0.000218218,0.000259992,0.000116044,-9.03E-05,0.000216074,-0.000112164,-0.000108589,-9.75E-06,0.000473282,0.000306861,0.000138236,-0.000234341,-0.000608313,0.000264089,-0.000148173,-0.000150985,-0.000110389,9.21E-05,0.000111077,-0.000576083,-0.000391418,0.000399233,-0.000243652,0.00096403,-0.151011921
1/2/2009,2,-0.000906989,0.000259069,-0.000127545,-5.07E-05,0.000105714,0.000579506,4.78E-05,0.000222633,-0.000260108,0.000972809,-0.000224138,-0.000238493,-0.000296763,-1.00E-05,-0.000382695,-0.000218218,0.000259992,0.000116044,-9.03E-05,0.000216074,-0.000112164,-0.000108589,-9.75E-06,0.000473282,0.000306861,0.000138236,-0.000234341,-0.000608313,0.000264089,-0.000148173,-0.000150985,-0.000110389,9.21E-05,0.000111077,-0.000576083,-0.000391418,0.000399233,-0.000243652,0.00096403,0.568773149
1/3/2009,3,-0.000906989,0.000259069,-0.000127545,-5.07E-05,0.000105714,0.000579506,4.78E-05,0.000222633,-0.000260108,0.000972809,-0.000224138,-0.000238493,-0.000296763,-1.00E-05,-0.000382695,-0.000218218,0.000259992,0.000116044,-9.03E-05,0.000216074,-0.000112164,-0.000108589,-9.75E-06,0.000473282,0.000306861,0.000138236,-0.000234341,-0.000608313,0.000264089,-0.000148173,-0.000150985,-0.000110389,9.21E-05,0.000111077,-0.000576083,-0.000391418,0.000399233,-0.000243652,0.00096403,0.054188676
1/4/2009,4,-0.000906989,0.000259069,-0.000127545,-5.07E-05,0.000105714,0.000579506,4.78E-05,0.000222633,-0.000260108,0.000972809,-0.000224138,-0.000238493,-0.000296763,-1.00E-05,-0.000382695,-0.000218218,0.000259992,0.000116044,-9.03E-05,0.000216074,-0.000112164,-0.000108589,-9.75E-06,0.000473282,0.000306861,0.000138236,-0.000234341,-0.000608313,0.000264089,-0.000148173,-0.000150985,-0.000110389,9.21E-05,0.000111077,-0.000576083,-0.000391418,0.000399233,-0.000243652,0.00096403,0.138017459
1/5/2009,5,-0.000906989,0.000259069,-0.000127545,-5.07E-05,0.000105714,0.000579506,4.78E-05,0.000222633,-0.000260108,0.000972809,-0.000224138,-0.000238493,-0.000296763,-1.00E-05,-0.000382695,-0.000218218,0.000259992,0.000116044,-9.03E-05,0.000216074,-0.000112164,-0.000108589,-9.75E-06,0.000473282,0.000306861,0.000138236,-0.000234341,-0.000608313,0.000264089,-0.000148173,-0.000150985,-0.000110389,9.21E-05,0.000111077,-0.000576083,-0.000391418,0.000399233,-0.000243652,0.00096403,0.085959998
1/6/2009,6,0.024890623,0.015612418,-0.047486801,-0.005178716,0.018740255,0.025537453,-0.005909517,-0.014352681,-0.000521449,-0.009266172,0.023762382,-0.009047057,0.010862244,0.002910518,0.048460795,8.75E-05,0.045840829,0.001242876,0.005528128,-0.028970853,0.037757864,0.004714904,-0.020688736,-0.021464414,-0.023271141,0.103028457,0.04490527,0.047692162,-0.010208876,0.030196312,0.001320689,-0.051676577,0.017078218,-0.035058842,0.018276435,-0.006172777,-0.001579836,0.046354602,0.00019377,-0.064115249
1/7/2009,7,-0.001707039,-0.002911897,0.000973564,0.002264221,0.001740542,0.006043977,0.00268751,-0.002065171,-0.000391307,0.002364101,0.000289926,-0.001254403,-0.001283769,0.000149348,-0.00104103,0.000902645,0.000256272,0.000240486,0.000900076,0.001339458,0.00029549,-2.17E-05,0.000574513,0.0007624,0.006530408,-0.00053813,-0.000443685,-0.000726991,-0.004312407,-0.001349509,-0.001024201,-0.004278069,-0.002459179,-0.000815447,-0.000775211,0.000658808,-0.000364538,0.000186044,0.001743331,0.099888439
1/8/2009,8,-0.000906989,0.000259069,-0.000127545,-5.07E-05,0.000105714,0.000579506,4.78E-05,0.000222633,-0.000260108,0.000972809,-0.000224138,-0.000238493,-0.000296763,-1.00E-05,-0.000382695,-0.000218218,0.000259992,0.000116044,-9.03E-05,0.000216074,-0.000112164,-0.000108589,-9.75E-06,0.000473282,0.000306861,0.000138236,-0.000234341,-0.000608313,0.000264089,-0.000148173,-0.000150985,-0.000110389,9.21E-05,0.000111077,-0.000576083,-0.000391418,0.000399233,-0.000243652,0.00096403,-0.103804436
1/9/2009,9,-0.000906989,0.000259069,-0.000127545,-5.07E-05,0.000105714,0.000579506,4.78E-05,0.000222633,-0.000260108,0.000972809,-0.000224138,-0.000238493,-0.000296763,-1.00E-05,-0.000382695,-0.000218218,0.000259992,0.000116044,-9.03E-05,0.000216074,-0.000112164,-0.000108589,-9.75E-06,0.000473282,0.000306861,0.000138236,-0.000234341,-0.000608313,0.000264089,-0.000148173,-0.000150985,-0.000110389,9.21E-05,0.000111077,-0.000576083,-0.000391418,0.000399233,-0.000243652,0.00096403,0.027613832
1/10/2009,10,-0.000906989,0.000259069,-0.000127545,-5.07E-05,0.000105714,0.000579506,4.78E-05,0.000222633,-0.000260108,0.000972809,-0.000224138,-0.000238493,-0.000296763,-1.00E-05,-0.000382695,-0.000218218,0.000259992,0.000116044,-9.03E-05,0.000216074,-0.000112164,-0.000108589,-9.75E-06,0.000473282,0.000306861,0.000138236,-0.000234341,-0.000608313,0.000264089,-0.000148173,-0.000150985,-0.000110389,9.21E-05,0.000111077,-0.000576083,-0.000391418,0.000399233,-0.000243652,0.00096403,-0.235900739
1/11/2009,11,-0.000906989,0.000259069,-0.000127545,-5.07E-05,0.000105714,0.000579506,4.78E-05,0.000222633,-0.000260108,0.000972809,-0.000224138,-0.000238493,-0.000296763,-1.00E-05,-0.000382695,-0.000218218,0.000259992,0.000116044,-9.03E-05,0.000216074,-0.000112164,-0.000108589,-9.75E-06,0.000473282,0.000306861,0.000138236,-0.000234341,-0.000608313,0.000264089,-0.000148173,-0.000150985,-0.000110389,9.21E-05,0.000111077,-0.000576083,-0.000391418,0.000399233,-0.000243652,0.00096403,0.080672885
1/12/2009,12,-0.000906989,0.000259069,-0.000127545,-5.07E-05,0.000105714,0.000579506,4.78E-05,0.000222633,-0.000260108,0.000972809,-0.000224138,-0.000238493,-0.000296763,-1.00E-05,-0.000382695,-0.000218218,0.000259992,0.000116044,-9.03E-05,0.000216074,-0.000112164,-0.000108589,-9.75E-06,0.000473282,0.000306861,0.000138236,-0.000234341,-0.000608313,0.000264089,-0.000148173,-0.000150985,-0.000110389,9.21E-05,0.000111077,-0.000576083,-0.000391418,0.000399233,-0.000243652,0.00096403,0.192734616
1/13/2009,13,-0.000906989,0.000259069,-0.000127545,-5.07E-05,0.000105714,0.000579506,4.78E-05,0.000222633,-0.000260108,0.000972809,-0.000224138,-0.000238493,-0.000296763,-1.00E-05,-0.000382695,-0.000218218,0.000259992,0.000116044,-9.03E-05,0.000216074,-0.000112164,-0.000108589,-9.75E-06,0.000473282,0.000306861,0.000138236,-0.000234341,-0.000608313,0.000264089,-0.000148173,-0.000150985,-0.000110389,9.21E-05,0.000111077,-0.000576083,-0.000391418,0.000399233,-0.000243652,0.00096403,-0.178910366
1/14/2009,14,-0.000906989,0.000259069,-0.000127545,-5.07E-05,0.000105714,0.000579506,4.78E-05,0.000222633,-0.000260108,0.000972809,-0.000224138,-0.000238493,-0.000296763,-1.00E-05,-0.000382695,-0.000218218,0.000259992,0.000116044,-9.03E-05,0.000216074,-0.000112164,-0.000108589,-9.75E-06,0.000473282,0.000306861,0.000138236,-0.000234341,-0.000608313,0.000264089,-0.000148173,-0.000150985,-0.000110389,9.21E-05,0.000111077,-0.000576083,-0.000391418,0.000399233,-0.000243652,0.00096403,-0.042464745
1/15/2009,15,-0.000906989,0.000259069,-0.000127545,-5.07E-05,0.000105714,0.000579506,4.78E-05,0.000222633,-0.000260108,0.000972809,-0.000224138,-0.000238493,-0.000296763,-1.00E-05,-0.000382695,-0.000218218,0.000259992,0.000116044,-9.03E-05,0.000216074,-0.000112164,-0.000108589,-9.75E-06,0.000473282,0.000306861,0.000138236,-0.000234341,-0.000608313,0.000264089,-0.000148173,-0.000150985,-0.000110389,9.21E-05,0.000111077,-0.000576083,-0.000391418,0.000399233,-0.000243652,0.00096403,-0.034830821
1/16/2009,16,-0.000906989,0.000259069,-0.000127545,-5.07E-05,0.000105714,0.000579506,4.78E-05,0.000222633,-0.000260108,0.000972809,-0.000224138,-0.000238493,-0.000296763,-1.00E-05,-0.000382695,-0.000218218,0.000259992,0.000116044,-9.03E-05,0.000216074,-0.000112164,-0.000108589,-9.75E-06,0.000473282,0.000306861,0.000138236,-0.000234341,-0.000608313,0.000264089,-0.000148173,-0.000150985,-0.000110389,9.21E-05,0.000111077,-0.000576083,-0.000391418,0.000399233,-0.000243652,0.00096403,-0.299490321
1/17/2009,17,-0.000906989,0.000259069,-0.000127545,-5.07E-05,0.000105714,0.000579506,4.78E-05,0.000222633,-0.000260108,0.000972809,-0.000224138,-0.000238493,-0.000296763,-1.00E-05,-0.000382695,-0.000218218,0.000259992,0.000116044,-9.03E-05,0.000216074,-0.000112164,-0.000108589,-9.75E-06,0.000473282,0.000306861,0.000138236,-0.000234341,-0.000608313,0.000264089,-0.000148173,-0.000150985,-0.000110389,9.21E-05,0.000111077,-0.000576083,-0.000391418,0.000399233,-0.000243652,0.00096403,-0.01100125
1/18/2009,18,-0.000906989,0.000259069,-0.000127545,-5.07E-05,0.000105714,0.000579506,4.78E-05,0.000222633,-0.000260108,0.000972809,-0.000224138,-0.000238493,-0.000296763,-1.00E-05,-0.000382695,-0.000218218,0.000259992,0.000116044,-9.03E-05,0.000216074,-0.000112164,-0.000108589,-9.75E-06,0.000473282,0.000306861,0.000138236,-0.000234341,-0.000608313,0.000264089,-0.000148173,-0.000150985,-0.000110389,9.21E-05,0.000111077,-0.000576083,-0.000391418,0.000399233,-0.000243652,0.00096403,-0.124013815
