Station,region36,lat,lon,totalprecip,hazprecip,pcthazprecip,springprecip,springhazprecip,springpcthaz,summerprecip,summerhazprecip,summerpcthaz,fallprecip,fallhazprecip,fallpcthaz,winterprecip,winterhazprecip,winterpcthaz,seasonhp,seasonhazpct,dry123days,dry123pct,mm4days,mm4hp,mm4pct,mp5days,mp5hp,mp5pct,mt6days,mt6hp,mt6pct,tr7days,tr7hp,tr7pct
MOB,Gulf Coast,30.68833,-88.24556,689.03,223.68,32.46302773,183.01,85.94,46.95918256,205.85,51.86,25.19310177,132.59,44.09,33.25288483,167.58,41.79,24.93734336,Spring,Spring,1274,0.549450549,359,111.76,10.30640669,70,1.27,1.428571429,1698,71.73,3.769140165,239,30.32,11.71548117
JAN,Gulf Coast,32.3205,-90.0777,603.59,203.86,33.77458208,184.26,83.68,45.41408879,139.72,40.49,28.97938735,117.42,37.15,31.63856243,162.19,42.54,26.22849744,Spring,Spring,1498,0.400534045,391,53.48,9.462915601,99,2.51,7.070707071,1368,90.92,6.213450292,291,54.29,14.08934708
MEM,Mid South,35.0564,-89.9865,551.26,179.09,32.48739252,179.24,65.54,36.56549877,121.13,56.76,46.8587468,113.3,25.69,22.67431598,137.59,31.1,22.60338687,Spring,Summer,1522,0.394218134,402,46.84,6.71641791,190,12.56,8.421052632,1225,68.26,6.204081633,298,46.69,12.08053691
CHS,South Atlantic,32.89943,-80.04075,550.7,162.36,29.48247685,111.11,29.95,26.95526955,211.72,77.76,36.72775364,125.45,40.8,32.5229175,102.42,13.85,13.52274946,Summer,Summer,1318,0.91047041,339,43.35,6.784660767,97,3.67,8.24742268,1627,80.87,6.453595575,270,30.25,7.407407407
MSY,Gulf Coast,29.99691,-90.27751,653.32,144.39,22.10096124,162.95,64.33,39.4783676,228.93,39.8,17.38522693,109.11,15.87,14.54495463,152.33,24.39,16.01129128,Spring,Spring,1052,0.190114068,319,49.26,6.896551724,64,0,0,1916,38.61,2.035490605,301,56.46,9.302325581
BTR,Gulf Coast,30.5372,-91.1469,664.55,141.78,21.33473779,152.77,51.89,33.96609282,209.03,44.68,21.37492226,123.59,15.24,12.33109475,179.16,29.97,16.7280643,Spring,Spring,1222,0.327332242,333,37.52,4.204204204,76,2.1,7.894736842,1696,64.14,2.41745283,295,37.5,9.830508475
HSV,Mid South,34.64389,-86.78611,560.01,138.9,24.80312852,151.66,48.39,31.90689701,132.69,35.69,26.89727937,114.87,20.75,18.06389832,160.79,34.07,21.18912868,Spring,Spring,1643,0.547778454,398,42.95,7.286432161,148,3.29,7.432432432,1194,49.68,4.020100503,267,40.81,11.98501873
RDU,Mid Atlantic,35.8923,-78.7819,481.98,138.12,28.65679074,128.24,31.34,24.43855271,139.34,58.7,42.12717095,120.37,28.86,23.97607377,94.03,19.22,20.44028502,Summer,Summer,1592,0.816582915,439,32.95,7.061503417,182,12.67,11.53846154,1145,65.32,8.209606987,291,25.22,10.65292096
GSO,Mid Atlantic,36.0969,-79.9432,450.95,136.38,30.24282071,112.65,23.32,20.70128717,124.47,53.77,43.19916446,120.08,37.95,31.60393071,93.75,21.34,22.76266667,Summer,Summer,1669,0.659077292,466,41.66,7.510729614,194,19.43,14.43298969,1005,44.66,7.562189055,316,27.41,9.810126582
SDF,Mid South,38.1811,-85.7391,522.36,133.54,25.56474462,154.08,46.74,30.33489097,138.94,39.39,28.35036706,118.7,24.67,20.78348778,110.64,22.74,20.55314534,Spring,Spring,1654,0.544135429,376,31.99,4.255319149,288,10.63,6.597222222,961,41.97,5.306971904,371,46.57,11.5902965
